"iata_code","lat","long"
"SGO",-28.0497,148.595
"MJK",-25.8939,113.577
"SBR",-9.37833,142.625
"SRN",-42.155,145.29201
"XTG",-27.9864,143.811
"TCA",-19.6344,134.183
"VCD",-16.40212,131.00497
"SYU",-10.2083,142.825
"WNR",-25.4131,142.66701
"WYA",-33.0589,137.51401
"WUN",-26.6292,120.221
"WOL",-34.5611,150.789
"WIN",-22.3636,143.086
"BWT",-40.9989,145.731
"OKR",-9.7528,143.40567
"XMY",-9.90111,142.776
"NAY",39.7828,116.388
"CIF",42.235,118.908
"CIH",36.2475,113.126
"DAT",40.0603,113.482
"HET",40.8514,111.824
"BAV",40.56,109.997
"SJW",38.2807,114.697
"TGO",43.5567,122.2
"HLH",46.19533,122.00833
"XIL",43.9156,115.964
"BHY",21.5394,109.294
"CGD",28.9189,111.64
"DYG",29.1028,110.443
"MXZ",24.35,116.133
"ZUH",22.0064,113.376
"LZH",24.2075,109.391
"ZHA",21.2144,110.358
"ENH",30.3203,109.485
"NNY",32.9808,112.615
"XFN",32.1506,112.291
"YIH",30.55655,111.47999
"AKA",32.7081,108.931
"GOQ",36.4006,94.7861
"HZG",33.13414,107.20601
"IQN",35.7997,107.603
"XNN",36.5275,102.043
"ENY",36.6369,109.554
"UYN",38.35971,109.59093
"AVK",46.2503,102.802
"LTI",46.3764,96.2211
"BYN",46.1633,100.704
"DLZ",43.5917,104.43
"HVD",47.9541,91.6282
"MXV",49.6633,100.099
"DIG",27.7936,99.6772
"LUM",24.4011,98.5317
"SYM",22.7933,100.959
"ZAT",27.3256,103.755
"KOW",25.85333,114.77889
"JDZ",29.3386,117.176
"JIU",29.47694,115.80111
"JUZ",28.9658,118.899
"LYG",34.57167,118.87361
"HYN",28.5622,121.429
"LYI",35.0461,118.412
"JJN",24.7964,118.59
"TXN",29.7333,118.256
"WEF",36.6467,119.119
"WEH",37.1871,122.229
"WUX",31.4944,120.429
"WUS",27.7019,118.001
"WNZ",27.9122,120.852
"YNZ",33.42583,120.20306
"YIW",29.3447,120.032
"HSN",29.9342,122.362
"BPX",30.5536,97.1083
"DAX",31.1302,107.4295
"GYS",32.3911,105.702
"LZO",28.8522,105.393
"MIG",31.4281,104.741
"NAO",30.79545,106.1626
"LZY",29.3033,94.3353
"WXN",30.8017,108.433
"AKU",41.2625,80.2917
"IQM",38.23361,85.46556
"KCA",41.67786,82.87292
"KRL",41.6978,86.1289
"KRY",45.46655,84.9527
"YIN",43.9558,81.3303
"HEK",50.17162,127.30888
"JMU",46.8434,130.465
"JNZ",41.1014,121.062
"NDG",47.2396,123.918
"YNJ",42.8828,129.451
"WKL",19.9205,-155.8607
"WME",-27.2864,120.555
"LRV",11.95,-66.67
"IOR",53.1067,-9.65361
"NNR",53.2303,-9.46778
"GTI",54.38333,13.32556
"EZV",63.921,65.0305
"ORH",42.2673,-71.8757
"AQG",30.5822,117.05
"SHP",39.9681,119.731
"YCU",35.11639,111.03139
"JGN",39.8569,98.3414
"DSN",39.49,109.86139
"PWT",47.4902,-122.765
"SPW",43.1655,-95.2028
"JEF",38.5912,-92.1561
"UNT",60.7472,-0.85385
"PVC",42.0719,-70.2214
"SBH",17.9044,-62.8436
"KMW",57.7969,41.0194
"SUI",42.8582,41.1281
"TBW",52.8061,41.4828
"OBN",56.4635,-5.39967
"ERM",-27.6619,-52.2683
"CVF",45.3967,6.63472
"FUL",33.872,-117.98
"USA",35.3878,-80.7091
"NVI",40.1172,65.1708
"QSF",36.1781,5.32449
"LRH",46.1792,-1.19528
"SUN",43.5044,-114.296
"MCW",43.1578,-93.3313
"AZA",33.3078,-111.655
"XAU",3.61361,-53.2042
"AKP",68.1336,-151.743
"ANV",62.6467,-160.19099
"ATK",70.4673,-157.436
"GAM",63.7668,-171.733
"HPB",61.5239,-166.147
"KAL",64.3191,-158.741
"KSM",62.0605,-163.302
"KVL",67.7362,-164.563
"MYU",60.3714,-166.271
"RBY",64.7272,-155.47
"SHH",66.2496,-166.08911
"SVA",63.6864,-170.493
"WTK",67.5661,-162.97501
"OMC",11.058,124.565
"YPX",60.0506,-77.2869
"YTQ",58.6678,-69.9558
"ARC",68.1147,-145.57899
"QOW",5.42706,7.20603
"FON",10.478,-84.6345
"TMU",9.73852,-85.0138
"CYZ",16.9299,121.753
"KVK",67.4633,33.5883
"GVR",-18.8952,-41.9822
"KPC",65.2537,-166.85899
"PJA",67.2456,23.0689
"QBC",52.3875,-126.596
"HGR",39.7079,-77.7295
"ACR",-0.5833,-72.4083
"GOP",26.7397,83.4497
"SDP",55.315,-160.523
"HMI",42.8414,93.6692
"WUZ",23.4567,111.248
"TBH",12.311,122.085
"ACP",37.348,46.1279
"GBT",36.9094,54.4013
"IIL",33.5866,46.4048
"PFQ",39.6036,47.8815
"TCG",46.6725,83.3408
"MQM",37.2233,40.6317
"AFS",41.6139,64.2332
"DRG",66.0696,-162.76601
"LEN",42.589,-5.65556
"RGS",42.3576,-3.62076
"EGM",-8.57889,157.87601
"CQD",32.2972,50.8422
"DHM",32.1651,76.2634
"NDC",19.1833,77.3167
"SLV",31.0818,77.068
"IGG",59.324,-155.90199
"KNW",59.4499,-157.328
"KVC",55.1163,-162.26601
"PTH",56.9591,-158.633
"TOG",59.0528,-160.397
"EGN",13.4817,22.4672
"LKH",3.3,114.783
"WLH",-15.412,167.69099
"CHG",41.5381,120.435
"UAS",0.53058,37.53419
"BHG",15.7631,-84.5436
"YVB",48.0711,-65.4603
"SKT",32.53556,74.36389
"PDP",-34.8551,-55.0943
"WVB",-22.9799,14.6453
"MPA",-17.6344,24.1767
"AOE",39.8099,30.5194
"CKZ",40.1377,26.4268
"MSR",38.7478,41.6612
"NOP",42.0158,35.0664
"TEQ",41.1382,27.9191
"YEI",40.2552,29.5626
"LSS",15.8644,-61.5806
"KMV",23.1888,94.0511
"VQS",18.1158,-65.4227
"YIF",51.2117,-58.6583
"HDM",34.8692,48.5525
"MRQ",13.361,121.826
"GFN",-29.7594,153.03
"OAG",-33.3817,149.133
"TRO",-31.8886,152.51401
"COQ",48.1357,114.646
"HOH",47.385,9.7
"ESC",45.7227,-87.0937
"YAK",59.5033,-139.66
"GUL",-34.8103,149.726
"CES",-32.7875,151.34199
"NSO",-32.0372,150.832
"DGE",-32.5625,149.61099
"MTL",-32.70126,151.49291
"CPX",18.31329,-65.30432
"MWA",37.755,-89.0111
"OCN",33.2173,-117.354
"KIK",35.4695,44.3489
"XJD",25.1173,51.315
"GBZ",-36.2414,175.472
"IMT",45.8184,-88.1145
"AET",66.5518,-152.62199
"MGC",41.7033,-86.8212
"SWD",60.1269,-149.41901
"GRM",47.8383,-90.3829
"AUW",44.9262,-89.6266
"MYP",37.6194,61.8967
"MVA",65.6558,-16.9181
"QSA",41.5209,2.10508
"WSY",-20.27611,148.755
"MIE",40.2423,-85.3959
"LAF",40.4123,-86.9369
"VGT",36.2107,-115.194
"ENW",42.5957,-87.9278
"MTJ",38.5098,-107.894
"RIW",43.0642,-108.46
"PDT",45.6951,-118.841
"LYM",51.08,1.013
"PKH",37.2975,23.1478
"KTR",-14.5211,132.37801
"NOA",-34.9489,150.537
"UCK",50.6784,25.48717
"CEJ",51.4022,31.1583
"BQT",52.1083,23.8981
"OSH",43.9844,-88.557
"AGE",53.78278,7.91389
"BXG",-36.7394,144.33
"EAT",47.3989,-120.207
"ARE",18.45,-66.6753
"RIN",-8.12639,157.14301
"KCK",57.773,108.064
"UKX",56.8567,105.73
"RMT",-22.63725,-152.8059
"QLS",46.5453,6.61667
"ZJI",46.1608,8.87861
"QNC",46.9575,6.86472
"TGK",47.19833,38.84917
"GDZ",44.58209,38.01248
"ZIA",55.5533,38.15
"IAR",57.5607,40.1574
"OHE",52.91278,122.43
"JNG",35.29278,116.34667
"DRK",8.71889,-83.6417
"TZL",44.4587,18.7248
"FWH",32.7692,-97.4415
"NYT",19.6235,96.201
"VBP",11.1494,98.7359
"NZH",49.56667,117.33
"WUA",39.7934,106.7993
"GYY",41.6163,-87.4128
"BRD",46.3983,-94.1381
"LWB",37.8583,-80.3995
"PGV",35.6352,-77.3853
"CYF",60.1492,-164.286
"OXR",34.2008,-119.207
"TEN",27.88333,109.30889
"NIU",-16.1191,-146.3683
"SCH",42.8525,-73.9289
"NBC",55.5647,52.0925
"IAO",9.8591,126.014
"LGO",53.7425,7.49778
"NLP",-25.5,30.9138
"CKC",49.4156,31.9953
"UST",29.9592,-81.3398
"NLV",47.0579,31.9198
"RHP",27.394,86.0614
"STS",38.509,-122.813
"ISM",28.2898,-81.4371
"LCQ",30.182,-82.5769
"LGU",41.7912,-111.852
"BMC",41.5524,-112.062
"ASE",39.2232,-106.869
"ULV",54.2683,48.2267
"ERV",29.9767,-99.0857
"GED",38.6892,-75.3589
"ZSW",54.3333,-130.283
"GBD",38.3443,-98.8592
"HYS",38.8422,-99.2732
"SUS",38.6621,-90.652
"LYU",47.8245,-91.8307
"GPZ",47.2111,-93.5098
"TVF",48.0657,-96.185
"EGV",45.9323,-89.2683
"ARV",45.9279,-89.7309
"YBV",52.3589,-97.0183
"AVX",33.4049,-118.416
"MHV",35.0594,-118.152
"ZIN",46.6766,7.87908
"INQ",53.0647,-9.5109
"SWT",60.7094,77.66
"HUT",38.0655,-97.8606
"OAI",34.9461,69.265
"AKH",24.0627,47.5805
"STJ",39.7719,-94.9097
"VOK",43.939,-90.2534
"GUC",38.5339,-106.933
"SIA",34.3767,109.12
"TOA",33.8034,-118.34
"MBL",44.2724,-86.2469
"PGD",26.9202,-81.9905
"WFK",47.2855,-68.3128
"JHW",42.1534,-79.258
"YTM",46.4094,-74.78
"SME",37.0534,-84.6159
"SHD",38.2638,-78.8964
"DVL",48.1142,-98.9088
"DIK",46.7974,-102.802
"SDY",47.7069,-104.193
"CDR",42.8376,-103.095
"AIA",42.0532,-102.804
"MCK",40.2063,-100.592
"MTH",24.7261,-81.0514
"GDV",47.1387,-104.807
"OLF",48.0945,-105.575
"WYS",44.6884,-111.118
"ALS",37.4349,-105.867
"CNY",38.755,-109.755
"ELY",39.2997,-114.842
"VEL",40.4409,-109.51
"RUI",33.4628,-105.535
"SOW",34.2655,-110.006
"MYL",44.8897,-116.101
"SMN",45.1238,-113.881
"MMH",37.6241,-118.838
"FRD",48.522,-123.024
"ESD",48.7082,-122.91
"AST",46.158,-123.879
"ONP",44.5804,-124.058
"EMK",62.7861,-164.491
"UNK",63.8884,-160.799
"UUK",70.3308,-149.59801
"SHX",62.6923,-159.569
"NUI",70.21,-151.006
"EEK",60.21367,-162.04388
"KUK",60.8744,-162.524
"KWT",60.7903,-161.444
"KWK",59.8765,-163.169
"MLL",61.8643,-162.026
"RSH",61.77888,-161.31946
"KGK",59.7266,-157.259
"KMO",58.9902,-159.05
"CIK",66.645,-143.74001
"EAA",64.7764,-141.151
"HUS",66.0411,-154.263
"HSL",65.6979,-156.351
"NUL",64.7293,-158.074
"VEE",67.0087,-146.366
"WBQ",66.3622,-147.407
"CEM",65.5738,-144.783
"SHG",66.8881,-157.162
"IYK",35.6588,-117.83
"VIS",36.3187,-119.393
"MCE",37.2847,-120.514
"CYR",-34.4564,-57.7706
"CPQ",-22.8592,-47.1082
"GYR",33.4225,-112.376
"TWB",-27.5428,151.916
"BBL",-27.40563,141.80946
"AYK",50.3186,66.9528
"AGN",57.5036,-134.58501
"ELV",58.1952,-136.347
"FNR",58.2544,-134.898
"HNH",58.0961,-135.41011
"HYG",55.2063,-132.828
"EGX",58.1855,-157.375
"KPV",55.906,-159.16299
"PIP",57.5804,-157.57201
"WSN",58.7034,-157.008
"AKK",56.9387,-154.183
"KYK",57.5671,-154.45
"KLN",57.5351,-153.978
"ABL",67.1063,-157.85699
"BKC",65.9816,-161.149
"IAN",66.976,-160.437
"OBU",66.9123,-156.897
"ORV",66.8179,-161.019
"WLK",66.6001,-159.98599
"KTS",65.3313,-166.466
"ELI",64.6147,-162.272
"GLV",64.5505,-163.007
"TLA",65.2404,-166.339
"WAA",65.62259,-168.095
"WMO",64.6892,-163.41299
"KKA",64.9395,-161.15401
"SMK",63.4901,-162.11
"SKK",64.3711,-161.224
"TNC",65.5631,-167.922
"AKB",52.2203,-174.20599
"IKO",52.9416,-168.849
"CYT",60.08097,-142.49454
"AUK",62.68004,-164.65993
"KPN",59.933,-164.03101
"KFP",54.8474,-163.41
"NLG",56.0075,-161.16
"PML",56.006,-160.561
"KLW",55.5792,-133.076
"KWN",59.7551,-161.845
"KOT",63.0306,-163.533
"KYU",64.8761,-157.727
"SCM",61.8453,-165.571
"NNL",59.9802,-154.839
"KKH",59.9608,-162.881
"NIB",63.0186,-154.358
"AKI",60.9029,-161.231
"AIN",70.638,-159.995
"APZ",-38.9755,-70.1136
"RDS",-37.3906,-68.9042
"PNT",-51.6715,-72.5284
"SGV",-41.5917,-65.3394
"IGB",-41.3209,-69.5749
"NCN",60.0773,-147.992
"TKJ",63.3295,-142.95399
"IRC",65.8305,-144.07601
"SLQ",61.7005,-157.166
"LMA",63.886,-152.302
"MLY",64.9976,-150.644
"YNP",55.9139,-61.1844
"YSO",54.9105,-59.78507
"YWB",61.5886,-71.9294
"YTF",48.5089,-71.6419
"YGV",50.2819,-63.6114
"YXK",48.4781,-68.4969
"XTL",58.7061,-98.5122
"XLB",58.6175,-101.469
"XSI",56.7928,-98.9072
"YBT",57.8894,-101.679
"ZGR",52.0456,-95.4658
"YCR",54.6106,-97.7608
"YRS",54.1672,-93.5572
"YOP",58.4914,-119.408
"YBY",54.3042,-110.744
"ZNA",49.1833,-123.95
"YGG",48.8545,-123.4969
"YDT",49.0742,-123.012
"YLY",49.1008,-122.631
"YFJ",64.1908,-114.077
"RNI",12.1629,-83.0638
"BZA",13.95,-84.6
"RFS",13.8897,-84.4089
"SIU",13.72722,-84.77778
"WSP",14.7392,-83.9694
"NCR",11.1334,-84.77
"PLD",9.87051,-85.4814
"COZ",18.9075,-70.7219
"NEG",18.3428,-78.3321
"NRR",18.2453,-65.6434
"SPB",18.3386,-64.9407
"ARR",-45.0136,-70.8122
"JSM",-44.0486,-70.4589
"UYU",-20.4463,-66.8484
"ABF",1.79861,173.041
"ABN",5.51272,-54.0501
"DRJ",4.11136,-54.67277
"MOJ",5.6076,-54.4003
"ICK",5.95556,-57.0394
"OEM",3.34528,-55.4425
"SMZ",4.35,-54.41667
"TOT",5.86583,-56.3275
"AGI",5.84113,-56.67333
"ORJ",4.72527,-60.035
"NAI",3.95944,-59.1242
"IMB",5.70811,-60.2942
"KAR",5.86534,-60.6142
"USI",8.2,-59.7833
"MHA",5.27749,-59.1511
"PJC",-22.64,-55.83
"ACD",8.51667,-77.3
"RVE",6.95187,-71.85718
"BQJ",67.648,134.69501
"VGZ",0.97877,-76.6056
"EBG",7.59647,-74.8089
"CAQ",7.96847,-75.1985
"COG",5.08333,-76.7
"TLU",9.50945,-75.5854
"CFB",-22.9217,-42.0743
"OPS",-11.885,-55.58611
"GRP",-11.7396,-49.1322
"CMP",-9.31997,-50.3285
"BVS",-1.63653,-50.4436
"SFK",-0.69943,-48.521
"PIN",-2.67302,-56.7772
"BRA",-12.0789,-45.009
"STZ",-10.46472,-50.51861
"MQH",-13.5491,-48.1953
"AUX",-7.22787,-48.2405
"NVP",-5.11803,-60.3649
"FRC",-20.5922,-47.3829
"DOU",-22.2019,-54.9266
"LBR",-7.27897,-64.7695
"ROO",-16.586,-54.7248
"GPB",-25.3875,-51.5202
"JCB",-27.1714,-51.5533
"RVD",-17.83472,-50.95611
"AAX",-19.5632,-46.9604
"MBZ",-3.37217,-57.7248
"RBB",-4.40634,-59.6024
"CIZ",-4.13406,-63.1326
"BAZ",-0.98129,-62.9196
"DMT",-14.3769,-56.4004
"GNM",-14.2082,-42.7461
"QDJ",34.6657,3.351
"NZA",-7.71694,21.3582
"LBZ",-8.44573,20.73209
"AMC",11.034,20.274
"GSQ",22.5857,28.7166
"MRB",39.4019,-77.9846
"AWA",7.067,38.5
"JIJ",9.3325,42.9121
"MKS",10.7254,38.7415
"DBM",10.35,37.717
"DBT",11.967,38
"QHR",8.7163,39.0059
"GOB",7.11606,40.0463
"MYB",-3.45842,10.67408
"MRE",-1.40611,35.00806
"RBX",6.825,29.669
"CPA",4.37902,-7.69695
"IHC",-25.99714,32.92935
"MAX",15.5936,-13.3228
"BDI",-3.72472,55.2053
"WHF",21.8027,31.52158
"HTY",36.36278,36.28222
"RVV",-23.8852,-147.662
"ILD",41.72819,0.53502
"BIU",65.6413,-23.5462
"GJR",65.9953,-21.3269
"SAK",65.7317,-19.5728
"IIA",53.093,-9.56806
"ULG",48.9933,89.9225
"KQT",37.8664,68.8647
"VGD",59.2825,39.9444
"ONK",68.515,112.48
"SYS",71.9279,114.08
"LDG",64.896,45.723
"HSK",42.0761,-0.31667
"CQM",38.85639,-3.97
"NJF",31.98985,44.40432
"CSA",56.0575,-6.24306
"RKH",34.9878,-81.0572
"AGC",40.3544,-79.9302
"VQQ",30.2187,-81.8767
"FTY",33.7791,-84.5214
"TII",32.6042,65.8658
"ZAJ",30.97222,61.86583
"CCN",34.533,65.267
"FUG",32.88216,115.73436
"LCX",25.6747,116.747
"ACX",25.08639,104.95944
"HZH",26.32217,109.1499
"OSU",40.0798,-83.073
"ADS",32.9686,-96.8364
"DSI",30.4001,-86.4715
"KHE",46.6758,32.5064
"SZS",-46.8997,168.101
"HJJ",27.44111,109.7
"YQI",43.8269,-66.0881
"ISO",35.3314,-77.6088
"FFA",36.0182,-75.6713
"CKS",-6.11528,-50.00139
"MWK",3.34812,106.258
"PGU",27.3796,52.7377
"YES",30.7005,51.5451
"OSM",36.3058,43.1474
"TJH",35.5128,134.787
"AXJ",32.4825,130.159
"KKX",28.3213,129.92799
"AGJ",26.5925,127.241
"ULZ",47.7093,96.5258
"UGA",48.855,103.476
"ULO",50.06659,91.93827
"LBX",13.8554,120.105
"TJU",37.9881,69.805
"TAZ",41.7611,59.8267
"BWB",-20.8644,115.406
"DRB",-17.37,123.661
"WGE",-30.0328,148.12601
"BRT",-11.7692,130.62
"DKI",-17.9417,146.14
"LZR",-14.67327,145.45457
"HLT",-37.6489,142.065
"HCQ",-18.2339,127.67
"FIZ",-18.1819,125.559
"RVT",-33.7972,120.208
"PVU",40.2192,-111.723
"SBS",40.5163,-106.866
"DTA",39.3806,-112.508
"PUC",39.6139,-110.751
"LAM",35.8798,-106.269
"HII",34.5711,-114.358
"INW",35.0219,-110.723
"DGL",31.3426,-109.506
"MZK",2.05861,173.271
"AEA",0.49083,173.82899
"AAK",0.18528,173.63699
"KUC",0.21861,173.442
"AIS",-2.61611,176.80299
"TMN",-2.48583,175.97
"BEZ",-1.35472,176.007
"NIG",-1.31444,176.41
"BBG",3.08583,172.811
"MTK",3.37444,172.992
"MNK",1.00361,173.03101
"NON",-0.63972,174.42799
"TSU",-1.47444,175.064
"WTZ",-36.8317,175.679
"KTF",-40.8133,172.77499
"AFT",-9.19139,160.94861
"RNA",-9.86054,161.97955
"CHY",-6.71194,156.39611
"NNB",-10.84799,162.45411
"XYA",-9.09282,159.21841
"BOW",27.9434,-81.7834
"FTI",-14.2172,-169.425
"LVK",37.6934,-121.82
"RMY",37.5109,-120.04
"GFY",-19.6022,18.1227
"NDU",-17.9565,19.7194
"TRM",33.6267,-116.16
"SMO",34.0158,-118.451
